file,name,x,y,width,length,rotation,split_alpha,opacity
0.png,b00000,53.284375000000004,98.87109375,17.0,24.0,5.76,None,None
0.png,b00001,69.69375000000001,76.80140625,14.0,22.0,1.69,None,None
0.png,b00010,87.578125,61.833354591836745,13.0,21.0,1.07,None,None
0.png,b00011,85.18125,88.46793478260871,12.0,19.0,2.09,None,None
0.png,b00100,163.35625000000002,95.92718160377359,13.0,20.0,1.61,None,None
0.png,b00101,170.3625,114.96293402777779,14.0,20.0,0.72,None,None
0.png,b00110,301.26875,77.95029296875,12.0,23.0,0.53,None,None
0.png,b00111,293.52500000000003,91.88020833333334,14.0,21.0,0.38,None,None
0.png,b01000,322.2875,83.31580882352941,16.0,26.0,1.8,None,None
0.png,b01001,303.66562500000003,112.03415178571429,14.0,21.0,1.8,None,None
0.png,b01010,396.221875,37.56640625,16.0,21.0,1.66,None,None
0.png,b01011,327.81875,138.14296875,14.0,19.0,1.05,None,None
0.png,b01100,342.38437500000003,154.06375,13.0,16.0,0.23,None,None
0.png,b01101,345.51875,173.72222222222223,13.0,16.0,2.2,None,None
0.png,b01110,344.78125,189.3970238095238,13.0,21.0,0.81,None,None
0.png,b01111,379.075,55.10507812499996,14.0,22.0,6.15,None,None
0.png,b10000,384.60625000000005,72.64375,13.0,27.0,6.12,None,None
0.png,b10001,406.546875,81.90145246478873,14.0,28.0,1.17,None,None
